id,state,district,city,road_name,road_segment,latitude,longitude,year,month,day,hour,road_category,cause,vehicle_type,road_user_type,weather,road_condition,lighting_condition,traffic_level,accidents,fatalities,injuries
ACC-10012,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79917,77.70889,2022,11,16,5,National Highway,Wrong-side Driving,Auto-Rickshaw,Vulnerable Road User (VRU),Fog/Mist,Damaged / Potholes,Streetlights Operational,Low,1,0,2
ACC-10013,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79428,77.695,2024,2,8,9,National Highway,Overspeeding,Pedestrian,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,High,1,0,0
ACC-10014,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79625,77.69605,2023,2,17,22,National Highway,Potholes / Road Surface Defect,Pedestrian,Vulnerable Road User (VRU),Rain,Damaged / Potholes,Streetlights Operational,Medium,1,0,2
ACC-10015,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79766,77.6985,2024,6,14,23,National Highway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Clear,Dry / Smooth,Poor / Intermittent,Medium,1,1,1
ACC-10016,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79962,77.69544,2021,8,26,11,National Highway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Clear,Dry / Smooth,Daylight,Medium,1,1,1
ACC-10017,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80188,77.70647,2024,1,13,19,National Highway,Wrong-side Driving,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Under Construction,Streetlights Operational,Medium,1,3,1
ACC-10018,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79512,77.70874,2021,1,19,20,National Highway,Poor Lighting,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Unlit / Pitch Black,High,1,0,1
ACC-10019,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.798,77.69956,2022,10,20,1,National Highway,Potholes / Road Surface Defect,Heavy Truck,Commercial Goods,Clear,Damaged / Potholes,Streetlights Operational,Low,1,1,2
ACC-10020,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80727,77.70041,2021,1,15,21,National Highway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Medium,1,0,2
ACC-10021,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79756,77.70418,2022,8,27,8,National Highway,Overspeeding,Heavy Truck,Commercial Goods,Clear,Dry / Smooth,Daylight,Low,1,1,1
ACC-10022,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79391,77.69984,2023,4,22,8,National Highway,Potholes / Road Surface Defect,Heavy Truck,Commercial Goods,Clear,Damaged / Potholes,Daylight,High,1,0,2
ACC-10023,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79524,77.69943,2022,11,9,19,National Highway,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Unlit / Pitch Black,Low,1,0,0
ACC-10024,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80617,77.7086,2021,6,7,13,National Highway,Overspeeding,Heavy Truck,Commercial Goods,Clear,Under Construction,Daylight,Medium,1,0,4
ACC-10025,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80715,77.70824,2021,3,24,15,National Highway,Potholes / Road Surface Defect,Pedestrian,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Medium,1,0,0
ACC-10026,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79431,77.70687,2022,4,27,8,National Highway,Wrong-side Driving,Pedestrian,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Medium,1,0,1
ACC-10027,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79822,77.7042,2023,11,17,20,National Highway,Wrong-side Driving,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Poor / Intermittent,High,1,1,2
ACC-10028,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80317,77.70511,2021,7,19,0,National Highway,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Streetlights Operational,Low,1,2,3
ACC-10029,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80517,77.69728,2021,12,10,22,National Highway,Potholes / Road Surface Defect,Heavy Truck,Commercial Goods,Fog/Mist,Damaged / Potholes,Poor / Intermittent,Medium,1,1,1
ACC-10030,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79662,77.70207,2023,7,18,7,National Highway,Wrong-side Driving,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Low,1,0,1
ACC-10031,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79712,77.7021,2022,11,3,22,National Highway,Wrong-side Driving,Two-Wheeler,Vulnerable Road User (VRU),Fog/Mist,Damaged / Potholes,Streetlights Operational,Low,1,1,0
ACC-10032,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80697,77.70867,2021,8,14,12,National Highway,Poor Lighting,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Medium,1,1,2
ACC-10033,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80388,77.71031,2024,4,6,14,National Highway,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,High,1,0,2
ACC-10034,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80664,77.69894,2023,8,20,17,National Highway,Potholes / Road Surface Defect,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Congested,1,0,2
ACC-10035,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79662,77.70114,2024,11,8,1,National Highway,Wrong-side Driving,Pedestrian,Vulnerable Road User (VRU),Fog/Mist,Dry / Smooth,Poor / Intermittent,Medium,1,1,0
ACC-10036,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79798,77.70074,2023,9,15,7,National Highway,Potholes / Road Surface Defect,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Congested,1,0,3
ACC-10037,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.8039,77.70727,2024,9,24,15,National Highway,Poor Lighting,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Congested,1,0,1
ACC-10038,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79927,77.69789,2022,8,5,11,National Highway,Overspeeding,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Dry / Smooth,Daylight,Congested,1,1,0
ACC-10039,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.7988,77.7049,2023,6,25,7,National Highway,Potholes / Road Surface Defect,Heavy Truck,Commercial Goods,Clear,Damaged / Potholes,Daylight,Congested,1,1,3
ACC-10040,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80439,77.70677,2021,1,8,0,National Highway,Poor Lighting,Pedestrian,Vulnerable Road User (VRU),Fog/Mist,Under Construction,Unlit / Pitch Black,High,1,0,1
ACC-10041,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80241,77.70903,2022,10,20,14,National Highway,Overspeeding,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,High,1,0,3
ACC-10042,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.7943,77.70486,2024,7,23,21,National Highway,Poor Lighting,Two-Wheeler,Vulnerable Road User (VRU),Clear,Dry / Smooth,Poor / Intermittent,Low,1,0,2
ACC-10043,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80559,77.70194,2021,7,27,18,National Highway,Wrong-side Driving,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Low,1,0,3
ACC-10044,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.801,77.70018,2023,6,28,1,National Highway,Wrong-side Driving,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Under Construction,Poor / Intermittent,High,1,0,1
ACC-10045,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80533,77.70555,2023,6,9,14,National Highway,Wrong-side Driving,Two-Wheeler,Vulnerable Road User (VRU),Clear,Damaged / Potholes,Daylight,Medium,1,0,1
ACC-10046,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80001,77.70643,2024,8,26,8,National Highway,Poor Lighting,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Low,1,0,1
ACC-10047,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80424,77.69756,2023,6,23,8,National Highway,Wrong-side Driving,Pedestrian,Vulnerable Road User (VRU),Rain,Wet / Slippery,Daylight,Medium,1,1,3
ACC-10048,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80453,77.69653,2024,5,24,20,National Highway,Wrong-side Driving,Two-Wheeler,Vulnerable Road User (VRU),Rain,Wet / Slippery,Streetlights Operational,Medium,1,0,1
ACC-10049,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79615,77.69532,2021,1,18,2,National Highway,Potholes / Road Surface Defect,Two-Wheeler,Vulnerable Road User (VRU),Fog/Mist,Damaged / Potholes,Streetlights Operational,Low,1,0,1
ACC-10050,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80274,77.70439,2024,2,27,19,National Highway,Overspeeding,Two-Wheeler,Vulnerable Road User (VRU),Clear,Dry / Smooth,Poor / Intermittent,High,1,0,1
ACC-10051,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79658,77.70507,2024,8,15,21,National Highway,Potholes / Road Surface Defect,Heavy Truck,Commercial Goods,Clear,Damaged / Potholes,Streetlights Operational,High,1,0,1
ACC-10052,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80046,77.7055,2022,4,6,2,National Highway,Overspeeding,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Under Construction,Streetlights Operational,High,1,1,2
ACC-10053,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.79434,77.69715,2023,11,19,17,National Highway,Poor Lighting,Auto-Rickshaw,Vulnerable Road User (VRU),Clear,Dry / Smooth,Daylight,Medium,1,0,2
ACC-10054,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.80121,77.7024,2023,10,24,17,National Highway,Wrong-side Driving,Auto-Rickshaw,Vulnerable Road User (VRU),Rain,Dry / Smooth,Daylight,Low,1,0,3
ACC-10055,Karnataka,Bengaluru Urban,Bengaluru,NH-44 Bengaluru-Hosur Corridor,Attibele Border to Bommasandra km 18-24,12.8024,77.70971,2021,10,2,14,National Highway,Wrong-side Driving,Heavy Truck,Commercial Goods,Clear,Dry / Smooth,Daylight,Medium,1,0,2
ACC-10056,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76653,73.3896,2023,10,2,5,Expressway,Dangerous Junction Geometry,Bus,Motorized Passenger,Rain,Wet / Slippery,Streetlights Operational,Medium,1,0,1
ACC-10057,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76078,73.37913,2024,6,14,22,Expressway,Overspeeding,Car,Motorized Passenger,Rain,Wet / Slippery,Poor / Intermittent,Congested,1,0,1
ACC-10058,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76351,73.38626,2023,2,25,20,Expressway,Overspeeding,Bus,Motorized Passenger,Rain,Under Construction,Streetlights Operational,High,1,1,2
ACC-10059,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75733,73.37663,2022,5,18,8,Expressway,Dangerous Junction Geometry,Bus,Motorized Passenger,Clear,Under Construction,Daylight,High,1,0,1
ACC-10060,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76686,73.38978,2021,9,14,1,Expressway,Dangerous Junction Geometry,Car,Motorized Passenger,Rain,Wet / Slippery,Streetlights Operational,Low,1,0,1
ACC-10061,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75777,73.37414,2022,8,18,7,Expressway,Adverse Weather / Fog,Car,Motorized Passenger,Rain,Wet / Slippery,Daylight,Congested,1,0,2
ACC-10062,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76079,73.37925,2023,10,19,10,Expressway,Adverse Weather / Fog,Heavy Truck,Commercial Goods,Clear,Under Construction,Daylight,Low,1,0,1
ACC-10063,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75968,73.38472,2022,12,8,7,Expressway,Dangerous Junction Geometry,Car,Motorized Passenger,Rain,Wet / Slippery,Daylight,Congested,1,0,2
ACC-10064,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76902,73.3753,2022,8,2,21,Expressway,Brake Failure / Defect,Car,Motorized Passenger,Rain,Wet / Slippery,Streetlights Operational,Congested,1,1,2
ACC-10065,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75459,73.3842,2023,6,20,13,Expressway,Overspeeding,Heavy Truck,Commercial Goods,Clear,Under Construction,Daylight,Congested,1,0,0
ACC-10066,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.7595,73.37643,2023,4,24,1,Expressway,Overspeeding,Heavy Truck,Commercial Goods,Clear,Dry / Smooth,Poor / Intermittent,Low,1,0,1
ACC-10067,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76088,73.37816,2024,10,22,5,Expressway,Adverse Weather / Fog,Car,Motorized Passenger,Clear,Under Construction,Streetlights Operational,Congested,1,0,0
ACC-10068,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75829,73.38949,2023,11,1,10,Expressway,Brake Failure / Defect,Bus,Motorized Passenger,Clear,Damaged / Potholes,Daylight,Congested,1,0,4
ACC-10069,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75789,73.38315,2023,8,28,18,Expressway,Dangerous Junction Geometry,Car,Motorized Passenger,Rain,Wet / Slippery,Poor / Intermittent,High,1,0,2
ACC-10070,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76434,73.38563,2021,10,24,8,Expressway,Adverse Weather / Fog,Bus,Motorized Passenger,Rain,Wet / Slippery,Daylight,Medium,1,0,1
ACC-10071,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75822,73.38606,2022,11,4,13,Expressway,Overspeeding,Heavy Truck,Commercial Goods,Clear,Under Construction,Daylight,Low,1,0,0
ACC-10072,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76121,73.387,2022,4,5,17,Expressway,Brake Failure / Defect,Bus,Motorized Passenger,Rain,Wet / Slippery,Daylight,Medium,1,0,2
ACC-10073,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76209,73.38138,2023,2,15,5,Expressway,Adverse Weather / Fog,Bus,Motorized Passenger,Clear,Under Construction,Streetlights Operational,High,1,0,0
ACC-10074,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75875,73.38386,2023,10,13,8,Expressway,Overspeeding,Bus,Motorized Passenger,Rain,Damaged / Potholes,Daylight,High,1,0,3
ACC-10075,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.7677,73.37627,2021,11,27,23,Expressway,Brake Failure / Defect,Bus,Motorized Passenger,Fog/Mist,Dry / Smooth,Unlit / Pitch Black,High,1,1,0
ACC-10076,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76852,73.37858,2024,6,22,14,Expressway,Dangerous Junction Geometry,Bus,Motorized Passenger,Rain,Damaged / Potholes,Daylight,High,1,0,1
ACC-10077,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76868,73.38729,2023,4,15,7,Expressway,Brake Failure / Defect,Car,Motorized Passenger,Rain,Wet / Slippery,Daylight,Low,1,1,3
ACC-10078,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75696,73.38802,2021,11,7,21,Expressway,Overspeeding,Car,Motorized Passenger,Clear,Damaged / Potholes,Streetlights Operational,Medium,1,1,1
ACC-10079,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75923,73.38671,2023,3,26,3,Expressway,Brake Failure / Defect,Car,Motorized Passenger,Rain,Wet / Slippery,Streetlights Operational,Medium,1,2,0
ACC-10080,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75524,73.38216,2023,1,6,2,Expressway,Dangerous Junction Geometry,Bus,Motorized Passenger,Fog/Mist,Under Construction,Unlit / Pitch Black,Congested,1,0,1
ACC-10081,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75523,73.3855,2021,12,26,13,Expressway,Brake Failure / Defect,Heavy Truck,Commercial Goods,Clear,Dry / Smooth,Daylight,Congested,1,0,1
ACC-10082,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76619,73.37593,2024,2,3,2,Expressway,Overspeeding,Car,Motorized Passenger,Clear,Under Construction,Poor / Intermittent,Congested,1,0,1
ACC-10083,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75758,73.38936,2022,7,15,9,Expressway,Brake Failure / Defect,Heavy Truck,Commercial Goods,Rain,Wet / Slippery,Daylight,High,1,0,1
ACC-10084,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76249,73.37937,2024,2,3,4,Expressway,Dangerous Junction Geometry,Car,Motorized Passenger,Rain,Wet / Slippery,Streetlights Operational,Medium,1,0,1
ACC-10085,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76275,73.3775,2021,7,12,15,Expressway,Dangerous Junction Geometry,Bus,Motorized Passenger,Rain,Wet / Slippery,Daylight,Low,1,0,1
ACC-10086,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.7646,73.37456,2024,4,28,20,Expressway,Brake Failure / Defect,Car,Motorized Passenger,Rain,Damaged / Potholes,Streetlights Operational,High,1,0,2
ACC-10087,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.75497,73.38259,2023,12,25,9,Expressway,Brake Failure / Defect,Car,Motorized Passenger,Clear,Damaged / Potholes,Daylight,Congested,1,1,3
ACC-10088,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76557,73.3749,2024,7,15,9,Expressway,Brake Failure / Defect,Bus,Motorized Passenger,Rain,Wet / Slippery,Daylight,High,1,0,0
ACC-10089,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76038,73.37863,2021,5,15,10,Expressway,Dangerous Junction Geometry,Heavy Truck,Commercial Goods,Rain,Wet / Slippery,Daylight,Medium,1,0,0
ACC-10090,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.7557,73.37819,2024,9,22,7,Expressway,Dangerous Junction Geometry,Bus,Motorized Passenger,Rain,Wet / Slippery,Daylight,Medium,1,0,1
ACC-10091,Maharashtra,Pune,Lonavala,Mumbai-Pune Expressway (Bhor Ghat),Khandala Downhill S-Curve km 42-48,18.76048,73.38146,2023,2,1,18,Expressway,Adverse Weather / Fog,Car,Motorized Passenger,Rain,Wet / Slippery,Unlit / Pitch Black,High,1,0,2
